Without L2 Normalization
AdamOptimizer, with drop out rate = 0.8
384 x 192

step 0, training accuracy 0.09375
step 0, test accuracy 0.101551
step 100, training accuracy 0.140625
step 200, training accuracy 0.359375
step 300, training accuracy 0.359375
step 400, training accuracy 0.421875
step 500, training accuracy 0.25
step 500, test accuracy 0.362181
step 600, training accuracy 0.34375
step 700, training accuracy 0.40625
step 800, training accuracy 0.390625
step 900, training accuracy 0.359375
step 1000, training accuracy 0.453125
step 1000, test accuracy 0.438219
step 1100, training accuracy 0.4375
step 1200, training accuracy 0.4375
step 1300, training accuracy 0.34375
step 1400, training accuracy 0.53125
step 1500, training accuracy 0.53125
step 1500, test accuracy 0.463232
step 1600, training accuracy 0.515625
step 1700, training accuracy 0.453125
step 1800, training accuracy 0.515625
step 1900, training accuracy 0.453125
step 2000, training accuracy 0.609375
step 2000, test accuracy 0.505753
step 2100, training accuracy 0.5
step 2200, training accuracy 0.4375
step 2300, training accuracy 0.53125
step 2400, training accuracy 0.53125
step 2500, training accuracy 0.515625
step 2500, test accuracy 0.523262
step 2600, training accuracy 0.546875
step 2700, training accuracy 0.53125
step 2800, training accuracy 0.484375
step 2900, training accuracy 0.59375
step 3000, training accuracy 0.578125
step 3000, test accuracy 0.542771
step 3100, training accuracy 0.53125
step 3200, training accuracy 0.53125
step 3300, training accuracy 0.625
step 3400, training accuracy 0.5
step 3500, training accuracy 0.546875
step 3500, test accuracy 0.557279
step 3600, training accuracy 0.59375
step 3700, training accuracy 0.453125
step 3800, training accuracy 0.625
step 3900, training accuracy 0.59375
step 4000, training accuracy 0.59375
step 4000, test accuracy 0.551776
step 4100, training accuracy 0.625
step 4200, training accuracy 0.65625
step 4300, training accuracy 0.640625
step 4400, training accuracy 0.515625
step 4500, training accuracy 0.546875
step 4500, test accuracy 0.565783
step 4600, training accuracy 0.53125
step 4700, training accuracy 0.65625
step 4800, training accuracy 0.640625
step 4900, training accuracy 0.59375
step 5000, training accuracy 0.609375
step 5000, test accuracy 0.590295
step 5100, training accuracy 0.5625
step 5200, training accuracy 0.609375
step 5300, training accuracy 0.65625
step 5400, training accuracy 0.578125
step 5500, training accuracy 0.65625
step 5500, test accuracy 0.584292
step 5600, training accuracy 0.65625
step 5700, training accuracy 0.625
step 5800, training accuracy 0.703125
step 5900, training accuracy 0.65625
step 6000, training accuracy 0.5
step 6000, test accuracy 0.598299
step 6100, training accuracy 0.71875
step 6200, training accuracy 0.5
step 6300, training accuracy 0.609375
step 6400, training accuracy 0.703125
step 6500, training accuracy 0.609375
step 6500, test accuracy 0.615308
step 6600, training accuracy 0.625
step 6700, training accuracy 0.65625
step 6800, training accuracy 0.640625
step 6900, training accuracy 0.84375
step 7000, training accuracy 0.65625
step 7000, test accuracy 0.61931
step 7100, training accuracy 0.609375
step 7200, training accuracy 0.671875
step 7300, training accuracy 0.703125
step 7400, training accuracy 0.703125
step 7500, training accuracy 0.640625
step 7500, test accuracy 0.614807
step 7600, training accuracy 0.6875
step 7700, training accuracy 0.71875
step 7800, training accuracy 0.78125
step 7900, training accuracy 0.625
step 8000, training accuracy 0.734375
step 8000, test accuracy 0.618809
step 8100, training accuracy 0.703125
step 8200, training accuracy 0.6875
step 8300, training accuracy 0.671875
step 8400, training accuracy 0.640625
step 8500, training accuracy 0.71875
step 8500, test accuracy 0.636318
step 8600, training accuracy 0.703125
step 8700, training accuracy 0.640625
step 8800, training accuracy 0.71875
step 8900, training accuracy 0.65625
step 9000, training accuracy 0.671875
step 9000, test accuracy 0.638819
step 9100, training accuracy 0.671875
step 9200, training accuracy 0.765625
step 9300, training accuracy 0.65625
step 9400, training accuracy 0.59375
step 9500, training accuracy 0.71875
step 9500, test accuracy 0.630315
step 9600, training accuracy 0.71875
step 9700, training accuracy 0.8125
step 9800, training accuracy 0.765625
step 9900, training accuracy 0.734375
step 10000, training accuracy 0.671875
step 10000, test accuracy 0.646323
step 10100, training accuracy 0.796875
step 10200, training accuracy 0.765625
step 10300, training accuracy 0.765625
step 10400, training accuracy 0.78125
step 10500, training accuracy 0.671875
step 10500, test accuracy 0.66083
step 10600, training accuracy 0.765625
step 10700, training accuracy 0.65625
step 10800, training accuracy 0.65625
step 10900, training accuracy 0.75
step 11000, training accuracy 0.78125
step 11000, test accuracy 0.66033
step 11100, training accuracy 0.75
step 11200, training accuracy 0.78125
step 11300, training accuracy 0.765625
step 11400, training accuracy 0.71875
step 11500, training accuracy 0.75
step 11500, test accuracy 0.657829
step 11600, training accuracy 0.6875
step 11700, training accuracy 0.765625
step 11800, training accuracy 0.734375
step 11900, training accuracy 0.734375
step 12000, training accuracy 0.71875
step 12000, test accuracy 0.667834
step 12100, training accuracy 0.828125
step 12200, training accuracy 0.71875
step 12300, training accuracy 0.640625
step 12400, training accuracy 0.796875
step 12500, training accuracy 0.71875
step 12500, test accuracy 0.667334
step 12600, training accuracy 0.8125
step 12700, training accuracy 0.78125
step 12800, training accuracy 0.71875
step 12900, training accuracy 0.796875
step 13000, training accuracy 0.78125
step 13000, test accuracy 0.673337
step 13100, training accuracy 0.703125
step 13200, training accuracy 0.78125
step 13300, training accuracy 0.75
step 13400, training accuracy 0.71875
step 13500, training accuracy 0.75
step 13500, test accuracy 0.675838
step 13600, training accuracy 0.75
step 13700, training accuracy 0.6875
step 13800, training accuracy 0.8125
step 13900, training accuracy 0.703125
step 14000, training accuracy 0.84375
step 14000, test accuracy 0.672836
step 14100, training accuracy 0.71875
step 14200, training accuracy 0.78125
step 14300, training accuracy 0.8125
step 14400, training accuracy 0.65625
step 14500, training accuracy 0.78125
step 14500, test accuracy 0.674337
step 14600, training accuracy 0.8125
step 14700, training accuracy 0.84375
step 14800, training accuracy 0.828125
step 14900, training accuracy 0.859375
step 15000, training accuracy 0.890625
step 15000, test accuracy 0.685343
step 15100, training accuracy 0.75
step 15200, training accuracy 0.875
step 15300, training accuracy 0.75
step 15400, training accuracy 0.8125
step 15500, training accuracy 0.828125
step 15500, test accuracy 0.684342
step 15600, training accuracy 0.859375
step 15700, training accuracy 0.734375
step 15800, training accuracy 0.859375
step 15900, training accuracy 0.703125
step 16000, training accuracy 0.890625
step 16000, test accuracy 0.682341
step 16100, training accuracy 0.703125
step 16200, training accuracy 0.78125
step 16300, training accuracy 0.8125
step 16400, training accuracy 0.8125
step 16500, training accuracy 0.796875
step 16500, test accuracy 0.686343
step 16600, training accuracy 0.828125
step 16700, training accuracy 0.859375
step 16800, training accuracy 0.8125
step 16900, training accuracy 0.796875
step 17000, training accuracy 0.84375
step 17000, test accuracy 0.690345
step 17100, training accuracy 0.859375
step 17200, training accuracy 0.875
step 17300, training accuracy 0.859375
step 17400, training accuracy 0.890625
step 17500, training accuracy 0.859375
step 17500, test accuracy 0.704352
step 17600, training accuracy 0.828125
step 17700, training accuracy 0.8125
step 17800, training accuracy 0.875
step 17900, training accuracy 0.890625
step 18000, training accuracy 0.859375
step 18000, test accuracy 0.70085
step 18100, training accuracy 0.796875
step 18200, training accuracy 0.859375
step 18300, training accuracy 0.859375
step 18400, training accuracy 0.90625
step 18500, training accuracy 0.75
step 18500, test accuracy 0.692846
step 18600, training accuracy 0.828125
step 18700, training accuracy 0.859375
step 18800, training accuracy 0.90625
step 18900, training accuracy 0.875
step 19000, training accuracy 0.96875
step 19000, test accuracy 0.701851
step 19100, training accuracy 0.90625
step 19200, training accuracy 0.890625
step 19300, training accuracy 0.9375
step 19400, training accuracy 0.84375
step 19500, training accuracy 0.890625
step 19500, test accuracy 0.687344
step 19600, training accuracy 0.921875
step 19700, training accuracy 0.890625
step 19800, training accuracy 0.921875
step 19900, training accuracy 0.953125
Final test accuracy is 0.6939
Training time is: 17240.503984
