With AdamOptimizer, Dropout rate = 0.8
With L2 batch normalization

step 0, training accuracy 0.15625
step 0, test accuracy 0.0965483
step 100, training accuracy 0.171875
step 200, training accuracy 0.328125
step 300, training accuracy 0.34375
step 400, training accuracy 0.328125
step 500, training accuracy 0.5
step 500, test accuracy 0.405203
step 600, training accuracy 0.515625
step 700, training accuracy 0.453125
step 800, training accuracy 0.390625
step 900, training accuracy 0.4375
step 1000, training accuracy 0.46875
step 1000, test accuracy 0.48024
step 1100, training accuracy 0.484375
step 1200, training accuracy 0.5
step 1300, training accuracy 0.5
step 1400, training accuracy 0.625
step 1500, training accuracy 0.65625
step 1500, test accuracy 0.508254
step 1600, training accuracy 0.515625
step 1700, training accuracy 0.453125
step 1800, training accuracy 0.546875
step 1900, training accuracy 0.46875
step 2000, training accuracy 0.515625
step 2000, test accuracy 0.521761
step 2100, training accuracy 0.546875
step 2200, training accuracy 0.65625
step 2300, training accuracy 0.5
step 2400, training accuracy 0.59375
step 2500, training accuracy 0.625
step 2500, test accuracy 0.547774
step 2600, training accuracy 0.515625
step 2700, training accuracy 0.609375
step 2800, training accuracy 0.578125
step 2900, training accuracy 0.59375
step 3000, training accuracy 0.734375
step 3000, test accuracy 0.563282
step 3100, training accuracy 0.5625
step 3200, training accuracy 0.640625
step 3300, training accuracy 0.625
step 3400, training accuracy 0.59375
step 3500, training accuracy 0.65625
step 3500, test accuracy 0.577289
step 3600, training accuracy 0.640625
step 3700, training accuracy 0.625
step 3800, training accuracy 0.5
step 3900, training accuracy 0.640625
step 4000, training accuracy 0.59375
step 4000, test accuracy 0.558279
step 4100, training accuracy 0.65625
step 4200, training accuracy 0.5625
step 4300, training accuracy 0.59375
step 4400, training accuracy 0.53125
step 4500, training accuracy 0.6875
step 4500, test accuracy 0.597799
step 4600, training accuracy 0.734375
step 4700, training accuracy 0.703125
step 4800, training accuracy 0.578125
step 4900, training accuracy 0.546875
step 5000, training accuracy 0.65625
step 5000, test accuracy 0.591796
step 5100, training accuracy 0.734375
step 5200, training accuracy 0.734375
step 5300, training accuracy 0.65625
step 5400, training accuracy 0.671875
step 5500, training accuracy 0.640625
step 5500, test accuracy 0.608804
step 5600, training accuracy 0.578125
step 5700, training accuracy 0.734375
step 5800, training accuracy 0.625
step 5900, training accuracy 0.71875
step 6000, training accuracy 0.671875
step 6000, test accuracy 0.613807
step 6100, training accuracy 0.71875
step 6200, training accuracy 0.765625
step 6300, training accuracy 0.71875
step 6400, training accuracy 0.65625
step 6500, training accuracy 0.734375
step 6500, test accuracy 0.632316
step 6600, training accuracy 0.8125
step 6700, training accuracy 0.71875
step 6800, training accuracy 0.609375
step 6900, training accuracy 0.71875
step 7000, training accuracy 0.71875
step 7000, test accuracy 0.635818
step 7100, training accuracy 0.671875
step 7200, training accuracy 0.671875
step 7300, training accuracy 0.75
step 7400, training accuracy 0.78125
step 7500, training accuracy 0.71875
step 7500, test accuracy 0.636318
step 7600, training accuracy 0.71875
step 7700, training accuracy 0.765625
step 7800, training accuracy 0.734375
step 7900, training accuracy 0.75
step 8000, training accuracy 0.71875
step 8000, test accuracy 0.653327
step 8100, training accuracy 0.828125
step 8200, training accuracy 0.640625
step 8300, training accuracy 0.6875
step 8400, training accuracy 0.78125
step 8500, training accuracy 0.84375
step 8500, test accuracy 0.643822
step 8600, training accuracy 0.765625
step 8700, training accuracy 0.75
step 8800, training accuracy 0.71875
step 8900, training accuracy 0.71875
step 9000, training accuracy 0.78125
step 9000, test accuracy 0.650825
step 9100, training accuracy 0.734375
step 9200, training accuracy 0.796875
step 9300, training accuracy 0.8125
step 9400, training accuracy 0.75
step 9500, training accuracy 0.78125
step 9500, test accuracy 0.656328
step 9600, training accuracy 0.828125
step 9700, training accuracy 0.796875
step 9800, training accuracy 0.6875
step 9900, training accuracy 0.734375
step 10000, training accuracy 0.6875
step 10000, test accuracy 0.656328
step 10100, training accuracy 0.6875
step 10200, training accuracy 0.78125
step 10300, training accuracy 0.765625
step 10400, training accuracy 0.703125
step 10500, training accuracy 0.796875
step 10500, test accuracy 0.663832
step 10600, training accuracy 0.796875
step 10700, training accuracy 0.828125
step 10800, training accuracy 0.78125
step 10900, training accuracy 0.8125
step 11000, training accuracy 0.75
step 11000, test accuracy 0.66083
step 11100, training accuracy 0.828125
step 11200, training accuracy 0.84375
step 11300, training accuracy 0.78125
step 11400, training accuracy 0.828125
step 11500, training accuracy 0.84375
step 11500, test accuracy 0.661831
step 11600, training accuracy 0.828125
step 11700, training accuracy 0.796875
step 11800, training accuracy 0.875
step 11900, training accuracy 0.828125
step 12000, training accuracy 0.8125
step 12000, test accuracy 0.665333
step 12100, training accuracy 0.765625
step 12200, training accuracy 0.859375
step 12300, training accuracy 0.78125
step 12400, training accuracy 0.765625
step 12500, training accuracy 0.78125
step 12500, test accuracy 0.673337
step 12600, training accuracy 0.921875
step 12700, training accuracy 0.875
step 12800, training accuracy 0.859375
step 12900, training accuracy 0.828125
step 13000, training accuracy 0.828125
step 13000, test accuracy 0.674337
step 13100, training accuracy 0.859375
step 13200, training accuracy 0.8125
step 13300, training accuracy 0.796875
step 13400, training accuracy 0.734375
step 13500, training accuracy 0.84375
step 13500, test accuracy 0.681341
step 13600, training accuracy 0.875
step 13700, training accuracy 0.859375
step 13800, training accuracy 0.890625
step 13900, training accuracy 0.796875
step 14000, training accuracy 0.78125
